5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.50972,Main dataset,Escherichia coli,MS14387,,Pooled sera,6,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,374,,0,2017-11-14 08:00:56
102.100.100.50971,Main dataset,Escherichia coli,MS14387,,Pooled sera,5,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,373,,0,2017-11-14 08:00:56
102.100.100.50970,Main dataset,Escherichia coli,MS14387,,Pooled sera,4,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,372,,0,2017-11-14 08:00:56
102.100.100.50969,Main dataset,Escherichia coli,MS14387,,Pooled sera,3,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,371,,0,2017-11-14 08:00:56
102.100.100.50968,Main dataset,Escherichia coli,MS14387,,Pooled sera,2,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,370,,0,2017-11-14 08:00:56
102.100.100.50967,Main dataset,Escherichia coli,MS14387,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,369,,0,2017-11-14 08:00:56
102.100.100.50966,Main dataset,Escherichia coli,MS14387,,RPMI,6,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,368,,0,2017-11-14 08:00:56
102.100.100.50965,Main dataset,Escherichia coli,MS14387,,RPMI,5,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,367,,0,2017-11-14 08:00:56
102.100.100.50964,Main dataset,Escherichia coli,MS14387,,RPMI,4,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,366,,0,2017-11-14 08:00:56
102.100.100.50963,Main dataset,Escherichia coli,MS14387,,RPMI,3,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,365,,0,2017-11-14 08:00:56
102.100.100.50962,Main dataset,Escherichia coli,MS14387,,RPMI,2,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,364,,0,2017-11-14 08:00:56
102.100.100.50961,Main dataset,Escherichia coli,MS14387,,RPMI,1,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,363,,0,2017-11-14 08:00:56
102.100.100.50960,Main dataset,Escherichia coli,MS14386,,Pooled sera,6,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,362,,0,2017-11-14 08:00:56
102.100.100.50959,Main dataset,Escherichia coli,MS14386,,Pooled sera,5,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,361,,0,2017-11-14 08:00:56
102.100.100.50958,Main dataset,Escherichia coli,MS14386,,Pooled sera,4,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,360,,0,2017-11-14 08:00:56
102.100.100.50957,Main dataset,Escherichia coli,MS14386,,Pooled sera,3,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,359,,0,2017-11-14 08:00:56
102.100.100.50956,Main dataset,Escherichia coli,MS14386,,Pooled sera,2,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,358,,0,2017-11-14 08:00:56
102.100.100.50955,Main dataset,Escherichia coli,MS14386,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,357,,0,2017-11-14 08:00:56
102.100.100.50954,Main dataset,Escherichia coli,MS14386,,RPMI,6,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,356,,0,2017-11-14 08:00:56
102.100.100.50953,Main dataset,Escherichia coli,MS14386,,RPMI,5,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,355,,0,2017-11-14 08:00:56
102.100.100.50952,Main dataset,Escherichia coli,MS14386,,RPMI,4,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,354,,0,2017-11-14 08:00:56
102.100.100.50951,Main dataset,Escherichia coli,MS14386,,RPMI,3,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,353,,0,2017-11-14 08:00:56
102.100.100.50950,Main dataset,Escherichia coli,MS14386,,RPMI,2,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,352,,0,2017-11-14 08:00:56
102.100.100.50949,Main dataset,Escherichia coli,MS14386,,RPMI,1,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,351,,0,2017-11-14 08:00:56
102.100.100.50948,Main dataset,Escherichia coli,MS14385,,Pooled sera,6,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,350,,0,2017-11-14 08:00:56
102.100.100.50947,Main dataset,Escherichia coli,MS14385,,Pooled sera,5,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,349,,0,2017-11-14 08:00:56
102.100.100.50946,Main dataset,Escherichia coli,MS14385,,Pooled sera,4,Metabolomics,LC-MS,MA,,2017-11-14,2017-11-13,0,,,348,,0,2017-11-14 08:00:56
